24, 'If this news is true', 'http://ec2-54-93-224-169.eu-central-1.compute.amazonaws.com/thmb/GOTS01E01-Thmb24.jpg', 'http://ec2-54-93-224-169.eu-central-1.compute.amazonaws.com/gvt/GOTS01E01-24.mp4
25, 'I piss on Dothraki omens.', 'http://ec2-54-93-224-169.eu-central-1.compute.amazonaws.com/thmb/GOTS01E01-Thmb25.jpg', 'http://ec2-54-93-224-169.eu-central-1.compute.amazonaws.com/gvt/GOTS01E01-25.mp4
26, 'A small gift', 'http://ec2-54-93-224-169.eu-central-1.compute.amazonaws.com/thmb/GOTS01E01-Thmb26.jpg', 'http://ec2-54-93-224-169.eu-central-1.compute.amazonaws.com/gvt/GOTS01E01-26.mp4
27, 'She&apos;s beautiful.', 'http://ec2-54-93-224-169.eu-central-1.compute.amazonaws.com/thmb/GOTS01E01-Thmb27.jpg', 'http://ec2-54-93-224-169.eu-central-1.compute.amazonaws.com/gvt/GOTS01E01-27.mp4
28, 'It&apos;s not hunting', 'http://ec2-54-93-224-169.eu-central-1.compute.amazonaws.com/thmb/GOTS01E01-Thmb28.jpg', 'http://ec2-54-93-224-169.eu-central-1.compute.amazonaws.com/gvt/GOTS01E01-28.mp4
29, 'let&apos;s go kill some boar!', 'http://ec2-54-93-224-169.eu-central-1.compute.amazonaws.com/thmb/GOTS01E01-Thmb29.jpg', 'http://ec2-54-93-224-169.eu-central-1.compute.amazonaws.com/gvt/GOTS01E01-29.mp4
30, 'The things I do for love.', 'http://ec2-54-93-224-169.eu-central-1.compute.amazonaws.com/thmb/GOTS01E01-Thmb30.jpg', 'http://ec2-54-93-224-169.eu-central-1.compute.amazonaws.com/gvt/GOTS01E01-30.mp4
31, 'Grass and horses.', 'http://ec2-54-93-224-169.eu-central-1.compute.amazonaws.com/thmb/GOTS01E02-Thmb01.jpg', 'http://ec2-54-93-224-169.eu-central-1.compute.amazonaws.com/gvt/GOTS01E02-01.mp4
32, 'Magister Illyrio ', 'http://ec2-54-93-224-169.eu-central-1.compute.amazonaws.com/thmb/GOTS01E02-Thmb02.jpg', 'http://ec2-54-93-224-169.eu-central-1.compute.amazonaws.com/gvt/GOTS01E02-02.mp4
33, 'Do you understand?', 'http://ec2-54-93-224-169.eu-central-1.compute.amazonaws.com/thmb/GOTS01E02-Thmb03.jpg', 'http://ec2-54-93-224-169.eu-central-1.compute.amazonaws.com/gvt/GOTS01E02-03.mp4
34, 'Speaking for the grotesques', 'http://ec2-54-93-224-169.eu-central-1.compute.amazonaws.com/thmb/GOTS01E02-Thmb04.jpg', 'http://ec2-54-93-224-169.eu-central-1.compute.amazonaws.com/gvt/GOTS01E02-04.mp4
35, 'That little bundle', 'http://ec2-54-93-224-169.eu-central-1.compute.amazonaws.com/thmb/GOTS01E02-Thmb05.jpg', 'http://ec2-54-93-224-169.eu-central-1.compute.amazonaws.com/gvt/GOTS01E02-05.mp4
36, 'Soon enough.', 'http://ec2-54-93-224-169.eu-central-1.compute.amazonaws.com/thmb/GOTS01E02-Thmb06.jpg', 'http://ec2-54-93-224-169.eu-central-1.compute.amazonaws.com/gvt/GOTS01E02-06.mp4
37, 'I can be quick.', 'http://ec2-54-93-224-169.eu-central-1.compute.amazonaws.com/thmb/GOTS01E02-Thmb07.jpg', 'http://ec2-54-93-224-169.eu-central-1.compute.amazonaws.com/gvt/GOTS01E02-07.mp4
